Date,Open,High,Low,Close,Adj Close,Volume
26/3/2019,135.054321,135.460358,133.757339,135.460358,135.460358,4499271679
27/3/2019,135.454361,141.07547,135.34166,140.988159,140.988159,5228240093
28/3/2019,141.005844,141.007935,138.425171,139.416473,139.416473,4163212475
29/3/2019,139.343201,142.54924,138.045105,142.497421,142.497421,5125602702
30/3/2019,142.359146,149.613235,141.031738,142.092682,142.092682,5144662127
31/3/2019,142.139221,142.189209,140.697372,141.514099,141.514099,4249050197
1/4/2019,141.465485,142.733994,140.737564,141.830322,141.830322,4611999536
2/4/2019,141.839523,165.226822,141.636459,163.961746,163.961746,9826645698
3/4/2019,164.008636,178.322052,157.322144,161.458801,161.458801,10622456246
4/4/2019,161.431763,164.929214,155.241104,158.052536,158.052536,7953123529
5/4/2019,158.020004,167.220383,157.443954,165.514847,165.514847,7531316908
6/4/2019,165.511246,172.515778,161.799469,165.947205,165.947205,7167016221
7/4/2019,165.977249,175.213165,164.932098,174.531647,174.531647,7596176020
8/4/2019,174.449677,184.377853,174.160995,180.25882,180.25882,9304964610
9/4/2019,180.222122,180.254227,175.091751,176.114578,176.114578,7632529578
10/4/2019,176.067841,183.134277,175.230377,177.337479,177.337479,7856924879
11/4/2019,177.342758,177.487488,162.320618,165.497025,165.497025,7859383417
12/4/2019,165.335205,166.127518,161.029739,164.736328,164.736328,6237185309
13/4/2019,164.622849,166.362427,163.011856,164.513351,164.513351,4959301561
14/4/2019,164.476089,168.591034,162.781479,167.838516,167.838516,4846298303
15/4/2019,167.897476,168.818451,159.55574,161.574173,161.574173,5672311824
16/4/2019,161.52655,167.666321,160.888748,167.623444,167.623444,5180105341
17/4/2019,167.553696,168.938583,165.501892,166.95076,166.95076,5596102715
18/4/2019,166.913208,175.365326,166.672119,173.814026,173.814026,6971581464
19/4/2019,173.787888,173.978897,170.620209,173.708435,173.708435,6541053061
20/4/2019,173.718811,176.705811,171.788834,173.751266,173.751266,6142567812
21/4/2019,173.715408,174.420776,167.428589,170.046524,170.046524,6005571688
22/4/2019,170.017487,173.069122,168.729553,171.874664,171.874664,6094878077
23/4/2019,172.007217,176.850784,170.896759,171.4478,171.4478,7097827092
24/4/2019,171.349533,171.573212,161.976685,165.826096,165.826096,7351304156
25/4/2019,165.914734,166.513412,153.847,154.459396,154.459396,6820332362
26/4/2019,154.579437,158.029007,152.085678,156.347092,156.347092,7505283355
27/4/2019,156.270859,160.589417,155.621887,158.434937,158.434937,5863109118
28/4/2019,158.499771,159.565384,157.125519,157.295074,157.295074,5379894433
29/4/2019,157.291061,158.333923,153.186523,155.201996,155.201996,6053776253
